№;TextLen;TempLen;Iter;Time;posFound
1;1519;7;261;438209;-1
2;4742;8;716;75583;-1
3;8901;9;1153;127875;-1
4;1407;9;196;25208;-1
5;9861;7;1674;177916;-1
6;9559;2;830;84625;1557
7;9241;9;1249;126125;-1
8;1138;10;151;19208;-1
9;3010;3;563;59667;1544
10;2981;7;506;54292;-1
11;6411;9;887;106458;-1
12;9613;1;13;5250;12
13;2120;8;321;35000;-1
14;9159;2;759;79792;1418
15;9347;4;2575;255250;-1
16;9794;7;1605;174167;-1
17;405;1;3;4000;2
18;8500;4;2343;232333;-1
19;6324;4;1771;266875;-1
20;9191;3;3321;323375;-1
21;9810;7;1608;159875;-1
22;7493;6;1442;144417;-1
23;6547;9;896;90208;-1
24;1903;1;6;4291;5
25;6777;7;1142;113958;-1
26;9385;5;2133;212000;-1
27;7645;8;1136;116000;-1
28;9486;3;1273;159708;3538
29;8166;9;1118;111833;-1
30;6153;7;1023;104583;-1
31;3770;1;23;5500;22
32;2523;7;431;45708;-1
33;760;10;99;13292;-1
34;8243;9;1122;113000;-1
35;242;7;44;7542;-1
36;3969;10;501;51917;-1
37;6429;1;44;7583;43
38;1144;1;3;3417;2
39;4052;3;325;35333;887
40;5623;6;1071;107458;-1
41;2561;3;931;93542;-1
42;6635;7;1124;114084;-1
43;6535;10;796;81917;-1
44;5446;4;1489;192083;-1
45;3768;7;641;66709;-1
46;9755;5;2195;217959;-1
47;9404;3;1103;111750;3055
48;6137;10;760;79375;-1
49;3833;3;1381;136542;-1
50;8724;10;1098;112916;-1
